ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Web Link,Notes
228,"  Sprint Report 3",5/15/18,5/17/18,3,0,0,,,3.12,,,
231,"  Progress Report 3 (Presentation)",5/17/18,5/22/18,4,0,0,,,3.13,,,
234,"  Peer Review 3",5/17/18,5/22/18,4,0,0,,,3.14,,,
236,"  TA Meeting 4",5/28/18,6/1/18,5,0,0,,,3.15,,,
239,"  Sprint Report 4",5/29/18,5/31/18,3,0,0,,,3.16,,,
242,"  Progress Report 4 (Presentation)",5/31/18,6/5/18,4,0,0,,,3.17,,,
245,"  Peer Review 4",5/31/18,6/5/18,4,0,0,,,3.18,,,
252,"  Final Delivery Presentation",6/5/18,6/13/18,7,0,0,,,3.19,,,
75,INF 163,4/5/18,6/12/18,49,0,0,,,4,,,
160,"  Team Contract",4/5/18,4/12/18,6,0,0,,,4.1,,,
163,"  Project Proposal",4/16/18,4/24/18,7,0,0,,,4.2,,,
166,"  Midterm Presentation",5/1/18,5/3/18,3,0,0,,,4.3,,,
169,"  Interview Protocol",5/1/18,5/8/18,6,0,0,,,4.4,,,
173,"  Data Collection & Methods Memo",5/10/18,5/15/18,4,0,0,,,4.5,,,
176,"  Heuristics Models Memo",5/17/18,5/22/18,4,0,0,,,4.6,,,
179,"  Dominant Themes Memo",5/24/18,5/29/18,4,0,0,,,4.7,,,
187,"  Final Presentation",5/29/18,6/5/18,6,0,0,,,4.8,,,
182,"  Individual Reflection Memo",5/31/18,6/5/18,4,0,0,,,4.9,,,
184,"  Research Journal",5/31/18,6/5/18,4,0,0,,,4.10,,,
189,"  Final Report",6/5/18,6/12/18,6,0,0,,,4.11,,,
